training/alpha_loss,eval/episode_success,eval/episode_reward_dist,eval/episode_reward_near,step,eval/episode_success_hard,eval/episode_success_any,render,training/log_alpha,training/entropy,training/sps,training/critic_loss,_runtime,eval/episode_success_easy,_step,eval/episode_reward,eval/episode_reward_ctrl,eval/episode_dist,training/actor_loss,eval/episode_reward_survive,_timestamp
0.0,934.7783203125,-32.06268310546875,0.0,18855936.0,0.0,0.994140625,"{'size': 856117, '_type': 'html-file', 'sha256': '03b4a9926955808d86152147ec6131696229abd145320a5f09a9a9c7427bb204', 'path': 'media/html/render_18855936_03b4a9926955808d8615.html'}",0.0,0.0,51412.4777622302,3.9852240085601807,589.0854454,0.0,18855936.0,934.7783203125,0.0,32.06268310546875,-44.349090576171875,0.0,1774111359.2637014
0.0,955.0859375,-28.17698097229004,0.0,19109888.0,0.0,0.9951171875,,0.0,0.0,51441.09122474446,3.9789528846740723,594.918431426,0.0,19109888.0,955.0859375,0.0,28.17698097229004,-44.28063201904297,0.0,1774111359.4166155
0.0,956.990234375,-31.001916885375977,0.0,19363840.0,0.0,1.0,,0.0,0.0,51237.45778421466,3.9802515506744385,600.571917596,0.0,19363840.0,956.990234375,0.0,31.001916885375977,-44.296871185302734,0.0,1774111365.0959616
0.0,938.189453125,-33.76288604736328,0.0,19617792.0,0.0,0.994140625,,0.0,0.0,51455.521760094074,4.0508713722229,606.248136417,0.0,19617792.0,938.189453125,0.0,33.76288604736328,-44.27272033691406,0.0,1774111370.749812
0.0,960.0341796875,-31.80321502685547,0.0,19871744.0,0.0,0.9990234375,,0.0,0.0,51238.96375858142,3.9940054416656494,611.913539218,0.0,19871744.0,960.0341796875,0.0,31.80321502685547,-44.273033142089844,0.0,1774111376.4257293
0.0,955.48828125,-33.53936767578125,0.0,20125696.0,0.0,0.998046875,"{'path': 'media/html/render_20125696_bb600825c915b30c7587.html', 'size': 897025, '_type': 'html-file', 'sha256': 'bb600825c915b30c75875beb3474a1262fd2927a2b00ac32710fe22d3b8f65ee'}",0.0,0.0,51368.10106180327,3.9867897033691406,627.203824107,0.0,20125696.0,955.48828125,0.0,33.53936767578125,-44.321929931640625,0.0,1774111397.3820598
0.0,948.669921875,-34.689178466796875,0.0,20379648.0,0.0,0.99609375,,0.0,0.0,51165.442101155844,4.012136459350586,633.053401998,0.0,20379648.0,948.669921875,0.0,34.689178466796875,-44.40861129760742,0.0,1774111397.5420613
0.0,963.3681640625,-30.478721618652344,0.0,20633600.0,0.0,1.0,,0.0,0.0,51116.84649750763,4.014580249786377,638.728941143,0.0,20633600.0,963.3681640625,0.0,30.478721618652344,-44.44158935546875,0.0,1774111403.230959
0.0,972.7666015625,-30.394390106201172,0.0,20887552.0,0.0,1.0,,0.0,0.0,51263.96945661396,4.025149822235107,644.377993236,0.0,20887552.0,972.7666015625,0.0,30.394390106201172,-44.41897964477539,0.0,1774111408.906572
0.0,966.2431640625,-30.676403045654297,0.0,21141504.0,0.0,1.0,,0.0,0.0,51511.69319928855,4.050095558166504,650.046455292,0.0,21141504.0,966.2431640625,0.0,30.676403045654297,-44.43038558959961,0.0,1774111414.5556445
