training/actor_loss,training/log_alpha,eval/episode_reward_ctrl,eval/episode_reward_survive,eval/episode_reward,eval/episode_success_easy,training/alpha_loss,render,eval/episode_success,eval/episode_reward_near,eval/episode_success_any,_runtime,eval/episode_success_hard,step,training/critic_loss,_step,training/entropy,eval/episode_reward_dist,training/sps,eval/episode_dist,_timestamp
-18.567813873291016,0.0,-1932.3966064453125,885.189453125,0.4580078125,45.421875,3.777521897063707e-06,,0.4580078125,0.0,0.0048828125,1159.493312927,0.0,17840128.0,0.06159871071577072,17840128.0,0.0,0.0,27520.636485268922,2923.500244140625,1774006420.5068882
-18.397289276123047,0.0,-1441.1875,713.658203125,0.16015625,11.978515625,-2.2807769710198045e-05,,0.16015625,0.0,0.001953125,1171.72446143,0.0,18094080.0,0.05949772894382477,18094080.0,0.0,0.0,27422.90421075418,2458.37109375,1774006432.8306255
-18.939786911010742,0.0,-1700.457275390625,742.6279296875,0.0,13.4697265625,2.405368650215678e-05,,0.0,0.0,0.0,1184.000220582,0.0,18348032.0,0.0606171190738678,18348032.0,0.0,0.0,27543.633545554567,2559.4833984375,1774006445.0620053
-18.972179412841797,0.0,-1584.244873046875,717.26171875,0.111328125,11.630859375,-4.599753992806654e-06,,0.111328125,0.0,0.0068359375,1196.218217572,0.0,18601984.0,0.06076033040881157,18601984.0,0.0,0.0,27546.66306726655,2508.779541015625,1774006457.3375123
-18.93583106994629,0.0,-1967.076416015625,878.5830078125,0.23046875,13.3798828125,-3.186168760294095e-05,"{'size': 4161669.0, '_type': 'html-file', 'sha256': '5eadbc31c1d8dfed265703e4fe0cdbdd6a5accadd4aeeb8d5c53f35057cc7c9a', 'path': 'media/html/render_18855936_5eadbc31c1d8dfed2657.html'}",0.23046875,0.0,0.001953125,1228.500328484,0.0,18855936.0,0.06313898414373398,18855936.0,0.0,0.0,27576.70653615588,2934.54296875,1774006501.8383782
-19.097713470458984,0.0,-1992.462890625,860.0478515625,0.0,13.943359375,-4.8501678975299e-05,,0.0,0.0,0.0,1240.991570938,0.0,19109888.0,0.06515207886695862,19109888.0,0.0,0.0,27576.44237386832,2928.49658203125,1774006502.0287838
-17.762836456298828,0.0,-1688.724853515625,784.916015625,0.0,14.880859375,6.763623969163746e-05,,0.0,0.0,0.0,1253.300425443,0.0,19363840.0,0.06076444685459137,19363840.0,0.0,0.0,27361.19485888389,2658.437255859375,1774006514.329076
-18.133235931396484,0.0,-1694.694580078125,865.90234375,0.435546875,23.6064453125,-8.084873843472451e-05,,0.435546875,0.0,0.001953125,1265.514977452,0.0,19617792.0,0.059607453644275665,19617792.0,0.0,0.0,27447.908705966947,2894.229736328125,1774006526.6379046
-19.660123825073242,0.0,-1603.253662109375,705.81640625,0.0,19.46484375,-3.397881664568558e-05,,0.0,0.0,0.0,1277.803188109,0.0,19871744.0,0.06034896522760391,19871744.0,0.0,0.0,27605.708031001064,2310.98095703125,1774006538.8524086
-19.054027557373047,0.0,-1833.6246337890625,885.8427734375,0.1103515625,6.3701171875,2.6951929612550884e-05,"{'size': 4117825.0, '_type': 'html-file', 'sha256': '18f1dae182b5c756859d357c481876cd0c5d9686340f8c3f845b58afe43fa852', 'path': 'media/html/render_20125696_18f1dae182b5c756859d.html'}",0.1103515625,0.0,0.0009765625,1310.109714765,0.0,20125696.0,0.06315003335475922,20125696.0,0.0,0.0,27498.47713484319,3062.439697265625,1774006583.4477966
-18.735469818115234,0.0,-1739.31591796875,816.869140625,0.03125,9.072265625,-1.3477320862875786e-05,,0.03125,0.0,0.0009765625,1322.638605589,0.0,20379648.0,0.06759735196828842,20379648.0,0.0,0.0,27483.79330964921,2840.84912109375,1774006583.642065
-17.78196144104004,0.0,-1709.3612060546875,820.025390625,0.3583984375,11.1044921875,-1.9206343495170586e-05,,0.3583984375,0.0,0.001953125,1334.910814152,0.0,20633600.0,0.06637617945671082,20633600.0,0.0,0.0,27383.757150942554,2841.47216796875,1774006595.9760108
-18.52782440185547,0.0,-1849.7200927734375,822.802734375,0.27734375,16.94921875,-0.0001238238619407639,,0.27734375,0.0,0.001953125,1347.207980837,0.0,20887552.0,0.06868986785411835,20887552.0,0.0,0.0,27505.17964642524,2792.41845703125,1774006608.2482283
-18.61798095703125,0.0,-1948.7391357421875,878.5029296875,0.005859375,15.875,4.389427886053454e-06,,0.005859375,0.0,0.0009765625,1359.455193173,0.0,21141504.0,0.06716254353523254,21141504.0,0.0,0.0,27494.72078311971,3008.59765625,1774006620.545233
-19.189098358154297,0.0,-1808.303466796875,868.458984375,0.96484375,28.05859375,-6.16805482422933e-05,"{'size': 4160513.0, '_type': 'html-file', 'sha256': '6b934c3d28c7151663b84e1ec480b72e6d330ac5b1827c108d15f9ead0901eaa', 'path': 'media/html/render_21395456_6b934c3d28c7151663b8.html'}",0.96484375,0.0,0.001953125,1391.985202525,0.0,21395456.0,0.06893304735422134,21395456.0,0.0,0.0,27497.987302904658,2955.078857421875,1774006665.3232942
-18.89363670349121,0.0,-1734.5064697265625,826.154296875,0.0,20.7177734375,5.729795520892367e-05,,0.0,0.0,0.0,1404.499035326,0.0,21649408.0,0.06426230818033218,21649408.0,0.0,0.0,27480.499674602463,2711.073486328125,1774006665.5409243
-18.814083099365234,0.0,-1963.8021240234375,857.7119140625,0.0,11.9599609375,3.8933732867008075e-05,,0.0,0.0,0.0,1416.781547569,0.0,21903360.0,0.06523798406124115,21903360.0,0.0,0.0,27389.312861768623,2967.80126953125,1774006677.8365448
-19.36496925354004,0.0,-1640.56396484375,779.634765625,0.7275390625,15.7607421875,-8.052737143771083e-07,,0.7275390625,0.0,0.001953125,1429.031860609,0.0,22157312.0,0.06729623675346375,22157312.0,0.0,0.0,27515.16668759932,2706.26953125,1774006690.11877
