eval/episode_reward_dist,eval/episode_reward_near,eval/episode_dist,training/alpha_loss,_timestamp,eval/episode_reward_ctrl,_runtime,training/sps,training/actor_loss,_step,training/critic_loss,eval/episode_success_hard,eval/episode_reward_survive,render,eval/episode_success_any,training/entropy,eval/episode_reward,eval/episode_success_easy,training/log_alpha,eval/episode_success,step
0.0,0.0,6807.81396484375,0.0,1774285440.6062205,-3242.797607421875,3890.597396697,30217.160599264113,-3.097043991088867,35108864.0,0.5545989274978638,0.0,817.9990234375,,0.109375,0.0,80.998046875,97.8896484375,0.0,80.998046875,35108864.0
0.0,0.0,7094.33984375,0.0,1774285511.6195374,-3388.76318359375,3939.07672163,30318.633267185516,-3.1828551292419434,35362816.0,0.5587676167488098,0.0,850.5283203125,"{'size': 3628401.0, '_type': 'html-file', 'sha256': 'ddf37aa249e0cf98071f7748336ba42803a5443c77b43babcc6048843d603a97', 'path': 'media/html/render_35362816_ddf37aa249e0cf98071f.html'}",0.0830078125,0.0,62.7724609375,74.3359375,0.0,62.7724609375,35362816.0
0.0,0.0,6236.8603515625,0.0,1774285511.83091,-3156.341796875,3961.836176129,30210.65993243704,-3.120697021484375,35616768.0,0.5377357602119446,0.0,799.8505859375,,0.15625,0.0,125.5263671875,144.1171875,0.0,125.5263671875,35616768.0
0.0,0.0,6086.9384765625,0.0,1774285534.3783307,-3016.292236328125,3984.62189316,30298.35095534714,-3.2342677116394043,35870720.0,0.565866231918335,0.0,759.2041015625,,0.1181640625,0.0,88.787109375,97.337890625,0.0,88.787109375,35870720.0
0.0,0.0,6209.662109375,0.0,1774285557.1638677,-3074.4970703125,4007.123152793,30185.46448714671,-3.2091329097747803,36124672.0,0.5799340009689331,0.0,775.6865234375,,0.109375,0.0,83.763671875,94.94140625,0.0,83.763671875,36124672.0
0.0,0.0,6020.4619140625,0.0,1774285579.6654716,-3058.5859375,4029.895501874,30439.980159049508,-3.440706253051758,36378624.0,0.5846297144889832,0.0,771.6259765625,,0.1142578125,0.0,85.1357421875,108.5830078125,0.0,85.1357421875,36378624.0
0.0,0.0,5305.1865234375,0.0,1774285652.1014447,-2742.9296875,4079.558664012,30227.730473386164,-3.2655081748962402,36632576.0,0.5864886045455933,0.0,694.9970703125,"{'path': 'media/html/render_36632576_6d11b34bd70594d4feeb.html', 'size': 3710669.0, '_type': 'html-file', 'sha256': '6d11b34bd70594d4feeba1e840c8d6c83c0cc573c8cbf50794cc98c22cffe644'}",0.115234375,0.0,91.4990234375,105.310546875,0.0,91.4990234375,36632576.0
0.0,0.0,5962.2451171875,0.0,1774285652.3215744,-3090.9326171875,4102.590928146,30376.073153633388,-3.664741277694702,36886528.0,0.6159659624099731,0.0,778.4208984375,,0.126953125,0.0,99.4638671875,111.4921875,0.0,99.4638671875,36886528.0
0.0,0.0,6579.38720703125,0.0,1774285675.133117,-3280.841552734375,4125.134207888,30146.93642566793,-3.679077625274658,37140480.0,0.6039202213287354,0.0,826.0068359375,,0.1162109375,0.0,97.21875,108.3349609375,0.0,97.21875,37140480.0
0.0,0.0,7103.87841796875,0.0,1774285697.6762133,-3417.168701171875,4147.90325266,30360.213161809574,-3.719489574432373,37394432.0,0.6192324757575989,0.0,859.6435546875,,0.0986328125,0.0,78.1357421875,90.1025390625,0.0,78.1357421875,37394432.0
0.0,0.0,7101.0537109375,0.0,1774285720.4453185,-3505.2685546875,4170.4259456,30231.11926857141,-3.7351627349853516,37648384.0,0.6397385597229004,0.0,882.6923828125,,0.11328125,0.0,86.1005859375,97.2001953125,0.0,86.1005859375,37648384.0
0.0,0.0,6655.86279296875,0.0,1774285791.5689685,-3283.4990234375,4219.026142141,30335.71894936839,-3.8881657123565674,37902336.0,0.6427866220474243,0.0,824.6015625,"{'_type': 'html-file', 'sha256': '63f3c7be7f5784efef90527649bf2ec983980fc809b6085fa96ff78390cd951d', 'path': 'media/html/render_37902336_63f3c7be7f5784efef90.html', 'size': 3694861.0}",0.095703125,0.0,75.599609375,93.59375,0.0,75.599609375,37902336.0
0.0,0.0,7119.13671875,0.0,1774285791.7932167,-3413.74267578125,4241.819052786,30178.67903576182,-3.8369548320770264,38156288.0,0.6212694644927979,0.0,858.9873046875,,0.083984375,0.0,68.068359375,76.771484375,0.0,68.068359375,38156288.0
