eval/episode_reward_survive,training/critic_loss,training/actor_loss,render,training/alpha_loss,_timestamp,_step,eval/episode_dist,eval/episode_success_easy,eval/episode_success,eval/episode_reward_ctrl,eval/episode_success_hard,step,training/log_alpha,eval/episode_success_any,training/entropy,eval/episode_reward_dist,eval/episode_reward_near,eval/episode_reward,_runtime,training/sps
0.0,1.1001046914316248e-05,-0.0007656000088900328,"{'path': 'media/html/render_33553408_dfe2fa92a717fe6a098d.html', 'size': 4713537.0, '_type': 'html-file', 'sha256': 'dfe2fa92a717fe6a098d90b5b84ffc372fe57be2aea474018e61b38d69b8d8c9'}",3.166745685123651e-11,1774003527.3267539,33553408.0,219.78997802734375,16.60546875,0.0,0.0,0.0,33553408.0,0.0,0.0,0.0,0.0,0.0,0.0,2848.978537664,21866.450052191776
0.0,5.381068604037864e-06,-0.0006515916902571917,,3.166446271851697e-11,1774003527.5670505,33807360.0,211.81304931640625,18.103515625,0.017578125,0.0,0.0,33807360.0,0.0,0.001953125,0.0,0.0,0.0,0.017578125,2864.817531083,21890.53779268305
0.0,6.602853773074457e-06,-0.0005412875907495618,,3.16659268251307e-11,1774003543.1648624,34061312.0,214.43572998046875,18.248046875,0.009765625,0.0,0.0,34061312.0,0.0,0.001953125,0.0,0.0,0.0,0.009765625,2880.388012683,21847.513210332898
0.0,8.069938303378876e-06,-0.0006174306035973132,,3.166295003964592e-11,1774003558.735766,34315264.0,220.22239685058594,15.30078125,0.0,0.0,0.0,34315264.0,0.0,0.0,0.0,0.0,0.0,0.0,2895.95158898,21883.873429234172
0.0,6.114153165981406e-06,-0.0005516849923878908,,3.165728096332643e-11,1774003574.2992892,34569216.0,218.63858032226562,16.533203125,0.0,0.0,0.0,34569216.0,0.0,0.0,0.0,0.0,0.0,0.0,2911.533002108,21900.522139021014
0.0,5.258058536128374e-06,-0.0005293989670462906,"{'path': 'media/html/render_34823168_dc6f142823654ddba64b.html', 'size': 4710301.0, '_type': 'html-file', 'sha256': 'dc6f142823654ddba64b307a56ae9f8b3e301c6212fa1eac90a8e3b4ffa65ab3'}",3.166648193664301e-11,1774003631.6157377,34823168.0,212.4860382080078,21.107421875,0.0,0.0,0.0,34823168.0,0.0,0.0,0.0,0.0,0.0,0.0,2953.26753571,21866.39977603788
0.0,5.13661643708474e-06,-0.0003956860746257007,,3.166325535097769e-11,1774003631.8482225,35077120.0,220.94302368164062,17.376953125,0.0,0.0,0.0,35077120.0,0.0,0.0,0.0,0.0,0.0,0.0,2969.117098195,21892.606108514414
0.0,4.525288204604294e-06,-0.0004253836814314127,,3.1662582278269014e-11,1774003647.4643464,35331072.0,216.61253356933594,18.41015625,0.0,0.0,0.0,35331072.0,0.0,0.0,0.0,0.0,0.0,0.0,2984.681381636,21822.17332537986
0.0,6.724887953168945e-06,-0.0004946736735291779,,3.1665281507997634e-11,1774003663.0291655,35585024.0,214.508544921875,17.951171875,0.0,0.0,0.0,35585024.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.270920213,21891.88933006231
0.0,4.28147222919506e-06,-0.0004291106015443802,,3.1659938559691625e-11,1774003678.6184444,35838976.0,219.53616333007812,17.865234375,0.0,0.0,0.0,35838976.0,0.0,0.0,0.0,0.0,0.0,0.0,3015.836016801,21860.61058687903
