eval/episode_reward,eval/episode_dist,eval/episode_success,eval/episode_reward_survive,training/sps,training/critic_loss,eval/episode_success_hard,_timestamp,training/log_alpha,training/actor_loss,training/alpha_loss,eval/episode_reward_dist,eval/episode_success_easy,training/entropy,render,eval/episode_success_any,_step,eval/episode_reward_near,step,eval/episode_reward_ctrl,_runtime
0.0,50.885948181152344,0.0,0.0,33147.469127084274,3.301267592625834e-11,0.0,1774364394.8223088,0.0,3.201478648406919e-06,0.0,0.0,4.58203125,0.0,,0.0,31521792.0,0.0,31521792.0,0.0,2162.894933623
0.0,50.389610290527344,0.0,0.0,33272.095046788265,3.346450200281126e-11,0.0,1774364406.3811436,0.0,3.8540179048141e-06,0.0,0.0,4.513671875,0.0,,0.0,31775744.0,0.0,31775744.0,0.0,2174.468602429
0.0,51.58447265625,0.0,0.0,33275.672766524185,3.327936537456111e-11,0.0,1774364417.9547088,0.0,3.4484901334508322e-06,0.0,0.0,4.263671875,0.0,,0.0,32029696.0,0.0,32029696.0,0.0,2186.035130179
0.0,51.164913177490234,0.0,0.0,33260.65712025204,3.2462046939407685e-11,0.0,1774364467.4625165,0.0,2.629780283314176e-06,0.0,0.0,4.548828125,0.0,"{'sha256': 'f94447b6c646345518df537662b8e5e7c3dbc1d5df87860f3ebdd9655951e35f', 'path': 'media/html/render_32283648_f94447b6c646345518df.html', 'size': 4700829.0, '_type': 'html-file'}",0.0,32283648.0,0.0,32283648.0,0.0,2223.975814792
0.0,49.64555358886719,0.0,0.0,33239.042241952964,3.295332409725127e-11,0.0,1774364467.686547,0.0,3.2826774258865044e-06,0.0,0.0,4.52734375,0.0,,0.0,32537600.0,0.0,32537600.0,0.0,2235.79308308
0.0,51.13884353637695,0.0,0.0,33184.91839365901,3.2319136950009764e-11,0.0,1774364479.2792225,0.0,2.1643375021085376e-06,0.0,0.0,4.216796875,0.0,,0.0,32791552.0,0.0,32791552.0,0.0,2247.378202962
0.0,52.7476921081543,0.0,0.0,33231.783043936695,3.2762955542997574e-11,0.0,1774364490.8643818,0.0,2.9570030619652243e-06,0.0,0.0,3.712890625,0.0,,0.0,33045504.0,0.0,33045504.0,0.0,2258.942431291
0.0,51.793792724609375,0.0,0.0,33270.60680893794,3.3670184695910876e-11,0.0,1774364502.428458,0.0,4.020185315312119e-06,0.0,0.0,4.296875,0.0,,0.0,33299456.0,0.0,33299456.0,0.0,2270.508790774
0.0,50.67047119140625,0.0,0.0,33297.01681603433,3.285929514595942e-11,0.0,1774364552.2752848,0.0,3.0499497825076105e-06,0.0,0.0,4.642578125,0.0,"{'path': 'media/html/render_33553408_f94447b6c646345518df.html', 'size': 4700829.0, '_type': 'html-file', 'sha256': 'f94447b6c646345518df537662b8e5e7c3dbc1d5df87860f3ebdd9655951e35f'}",0.0,33553408.0,0.0,33553408.0,0.0,2308.788527237
0.0,49.71227264404297,0.0,0.0,33291.711274313435,3.268001147471722e-11,0.0,1774364552.5545356,0.0,3.0084390800766414e-06,0.0,0.0,4.767578125,0.0,,0.0,33807360.0,0.0,33807360.0,0.0,2320.691556523
0.0,51.224273681640625,0.0,0.0,33097.284104357976,3.4061201775736905e-11,0.0,1774364564.1776855,0.0,4.197363068669802e-06,0.0,0.0,3.466796875,0.0,,0.0,34061312.0,0.0,34061312.0,0.0,2332.2795238
0.0,50.21928405761719,0.0,0.0,33222.92386126576,3.421884650633977e-11,0.0,1774364575.7657769,0.0,4.496405836107442e-06,0.0,0.0,4.265625,0.0,,0.0,34315264.0,0.0,34315264.0,0.0,2343.854801345
0.0,50.43531036376953,0.0,0.0,33256.74827316713,3.262671730008826e-11,0.0,1774364587.341073,0.0,2.74596959570772e-06,0.0,0.0,4.28125,0.0,,0.0,34569216.0,0.0,34569216.0,0.0,2355.443826819
0.0,51.13213348388672,0.0,0.0,33222.7135040336,3.217314609171851e-11,0.0,1774364635.9389985,0.0,2.116448968081386e-06,0.0,0.0,3.884765625,0.0,"{'size': 4700829.0, '_type': 'html-file', 'sha256': 'f94447b6c646345518df537662b8e5e7c3dbc1d5df87860f3ebdd9655951e35f', 'path': 'media/html/render_34823168_f94447b6c646345518df.html'}",0.0,34823168.0,0.0,34823168.0,0.0,2392.452206279
0.0,51.131736755371094,0.0,0.0,33209.14228646355,3.328634937127539e-11,0.0,1774364636.1540105,0.0,3.5175562516087666e-06,0.0,0.0,3.6875,0.0,,0.0,35077120.0,0.0,35077120.0,0.0,2404.262842875
0.0,48.83730697631836,0.0,0.0,33229.98636354717,3.330344680585462e-11,0.0,1774364647.7491758,0.0,3.6305746107245795e-06,0.0,0.0,5.07421875,0.0,,0.0,35331072.0,0.0,35331072.0,0.0,2415.822533273
0.0,50.75774002075195,0.0,0.0,33349.513819586326,3.2919805770248445e-11,0.0,1774364659.3087986,0.0,3.120454266536399e-06,0.0,0.0,4.091796875,0.0,,0.0,35585024.0,0.0,35585024.0,0.0,2427.382862461
0.0,51.374996185302734,0.0,0.0,33340.75560939259,3.3232760293655517e-11,0.0,1774364670.8691587,0.0,3.445805077717523e-06,0.0,0.0,4.115234375,0.0,,0.0,35838976.0,0.0,35838976.0,0.0,2438.934641244
0.0,50.257057189941406,0.0,0.0,33369.13470032039,3.2864010124367127e-11,0.0,1774364720.725992,0.0,3.116117113677319e-06,0.0,0.0,4.283203125,0.0,"{'size': 4700829.0, '_type': 'html-file', 'sha256': 'f94447b6c646345518df537662b8e5e7c3dbc1d5df87860f3ebdd9655951e35f', 'path': 'media/html/render_36092928_f94447b6c646345518df.html'}",0.0,36092928.0,0.0,36092928.0,0.0,2477.239188632
0.0,51.863380432128906,0.0,0.0,33348.21075756299,3.3232170487673685e-11,0.0,1774364720.961928,0.0,3.4556362606963376e-06,0.0,0.0,4.12109375,0.0,,0.0,36346880.0,0.0,36346880.0,0.0,2489.094607468
0.0,50.50341796875,0.0,0.0,33114.53980518245,3.300937648220703e-11,0.0,1774364732.5802743,0.0,2.802955577863031e-06,0.0,0.0,4.400390625,0.0,,0.0,36600832.0,0.0,36600832.0,0.0,2500.647683539
0.0,50.01443099975586,0.0,0.0,33356.85484290003,3.238578502595679e-11,0.0,1774364744.1340225,0.0,2.582372417236911e-06,0.0,0.0,4.560546875,0.0,,0.0,36854784.0,0.0,36854784.0,0.0,2512.212427883
0.0,50.049774169921875,0.0,0.0,33306.74039825429,3.2798101040620864e-11,0.0,1774364755.6988804,0.0,3.0364972190000117e-06,0.0,0.0,4.6640625,0.0,,0.0,37108736.0,0.0,37108736.0,0.0,2523.782611727
