training/alpha_loss,eval/episode_success_any,eval/episode_success_easy,_runtime,eval/episode_dist,eval/episode_reward_survive,training/critic_loss,_timestamp,training/entropy,render,eval/episode_reward_dist,eval/episode_reward_ctrl,eval/episode_reward_near,_step,eval/episode_reward,training/log_alpha,eval/episode_success_hard,training/sps,eval/episode_success,step,training/actor_loss
-2.0859176856902195e-06,1.0,0.0,1179.596196677,24.923675537109375,0.0,0.02449248544871807,1773889949.272229,0.0,,-24.923675537109375,0.0,0.0,29267968.0,969.5322265625,0.0,0.0,33847.28178696299,969.5322265625,29267968.0,-98.2959213256836
1.0890648809436243e-05,1.0,0.0,1187.833071359,25.50777244567871,0.0,0.025510717183351517,1773889957.5091734,0.0,,-25.50777244567871,0.0,0.0,29521920.0,977.4716796875,0.0,0.0,33823.45870165082,977.4716796875,29521920.0,-98.30290985107422
-6.712733693348127e-07,1.0,0.0,1196.068935109,24.04882049560547,0.0,0.024500256404280663,1773889965.7466195,0.0,,-24.04882049560547,0.0,0.0,29775872.0,979.515625,0.0,0.0,33782.72292190237,979.515625,29775872.0,-98.29769134521484
9.75514581114112e-07,1.0,0.0,1204.287941107,23.53618049621582,0.0,0.024196766316890717,1773889973.9818127,0.0,,-23.53618049621582,0.0,0.0,30029824.0,980.375,0.0,0.0,33792.43961241633,980.375,30029824.0,-98.27806091308594
-5.953670552116819e-06,1.0,0.0,1221.783333876,24.41457748413086,0.0,0.025171253830194473,1773889999.6974885,0.0,"{'size': 913269, '_type': 'html-file', 'sha256': '60f78da320903ce213390d5ce5776a650787ef538d24368819c80d11a6d0e041', 'path': 'media/html/render_30283776_60f78da320903ce21339.html'}",-24.41457748413086,0.0,0.0,30283776.0,979.4619140625,0.0,0.0,33862.504627072645,979.4619140625,30283776.0,-98.29720306396484
-5.3124717851460446e-06,1.0,0.0,1230.191591329,25.39456558227539,0.0,0.024147775024175644,1773889999.8593905,0.0,,-25.39456558227539,0.0,0.0,30537728.0,979.4365234375,0.0,0.0,33861.429206579305,979.4365234375,30537728.0,-98.38053894042969
-5.047546437708661e-06,1.0,0.0,1238.413509681,23.950328826904297,0.0,0.023161526769399643,1773890008.1051064,0.0,,-23.950328826904297,0.0,0.0,30791680.0,977.283203125,0.0,0.0,33764.57777973609,977.283203125,30791680.0,-98.40476989746094
1.5862400687183253e-05,1.0,0.0,1246.632026038,24.126127243041992,0.0,0.021971968933939934,1773890016.326604,0.0,,-24.126127243041992,0.0,0.0,31045632.0,977.86328125,0.0,0.0,33855.27511094524,977.86328125,31045632.0,-98.45306396484375
3.2050927529780893e-06,0.9970703125,0.0,1254.861361906,25.083053588867188,0.0,0.02390223741531372,1773890024.5457158,0.0,,-25.083053588867188,0.0,0.0,31299584.0,975.94140625,0.0,0.0,33863.87403010924,975.94140625,31299584.0,-98.41875457763672
1.0825228855537716e-05,1.0,0.0,1272.157583802,23.40222930908203,0.0,0.021304519847035408,1773890050.071676,0.0,"{'path': 'media/html/render_31553536_d3d618bf9b1d64522815.html', 'size': 908165, '_type': 'html-file', 'sha256': 'd3d618bf9b1d645228157d8f82be6257f816b4d9d0a008abdc3bb2952622fc23'}",-23.40222930908203,0.0,0.0,31553536.0,975.666015625,0.0,0.0,33816.23725771581,975.666015625,31553536.0,-98.46693420410156
1.2610635167220607e-05,1.0,0.0,1280.54701505,23.861671447753906,0.0,0.020693516358733177,1773890050.248204,0.0,,-23.861671447753906,0.0,0.0,31807488.0,976.7294921875,0.0,0.0,33922.72719350736,976.7294921875,31807488.0,-98.4703140258789
-3.0515718663082225e-06,1.0,0.0,1288.765305502,23.48086166381836,0.0,0.021471409127116203,1773890058.4599895,0.0,,-23.48086166381836,0.0,0.0,32061440.0,980.5537109375,0.0,0.0,33916.4536016637,980.5537109375,32061440.0,-98.451416015625
-2.6934549168800004e-05,0.9990234375,0.0,1296.998377157,23.745933532714844,0.0,0.019982490688562393,1773890066.6787727,0.0,,-23.745933532714844,0.0,0.0,32315392.0,979.87890625,0.0,0.0,33863.30881496147,979.87890625,32315392.0,-98.48237609863281
2.3687220163992606e-05,1.0,0.0,1305.228253945,25.672931671142578,0.0,0.021129662171006203,1773890074.9117742,0.0,,-25.672931671142578,0.0,0.0,32569344.0,981.01171875,0.0,0.0,33804.42758375463,981.01171875,32569344.0,-98.54289245605469
