training/actor_loss,_runtime,_timestamp,eval/episode_reward_survive,_step,render,training/alpha_loss,training/sps,eval/episode_reward,eval/episode_reward_ctrl,training/entropy,eval/episode_success_hard,step,eval/episode_success_any,eval/episode_reward_dist,eval/episode_success_easy,training/log_alpha,training/critic_loss,eval/episode_reward_near,eval/episode_success,eval/episode_dist
-9.379338264465332,3045.706809577,1773600887.1050718,953.2314453125,26982400.0,,-3.2298892165272264e-06,28983.566359487395,103.091796875,-1986.921142578125,0.0,0.0,26982400.0,0.1376953125,0.0,135.423828125,0.0,0.25535160303115845,0.0,103.091796875,7349.3251953125
-8.85688304901123,3068.599199091,1773600910.1432548,911.3955078125,27236352.0,,2.5391282179043628e-05,28950.090784540498,94.201171875,-1953.090576171875,0.0,0.0,27236352.0,0.138671875,0.0,143.7783203125,0.0,0.3009832799434662,0.0,94.201171875,6918.1259765625
-8.894254684448242,3091.643041515,1773600933.035328,940.591796875,27490304.0,,2.9618497137562372e-05,29018.441202555416,52.037109375,-2006.125244140625,0.0,0.0,27490304.0,0.0869140625,0.0,122.1708984375,0.0,0.269924134016037,0.0,52.037109375,7455.21337890625
-9.481401443481445,3140.486255958,1773601004.9232216,886.08203125,27744256.0,"{'size': 3858373.0, '_type': 'html-file', 'sha256': 'a07efbbad0d182ae6cfbe5f48d4eca88b62dbc27e7d046cde80391ff6c6128e8', 'path': 'media/html/render_27744256_a07efbbad0d182ae6cfb.html'}",-5.077947207610123e-05,28949.274064111025,75.48046875,-1825.3818359375,0.0,0.0,27744256.0,0.109375,0.0,104.3798828125,0.0,0.27019673585891724,0.0,75.48046875,6949.59375
-9.074408531188965,3163.812600157,1773601005.1713433,961.8583984375,27998208.0,,6.872252924949862e-06,29070.08954707044,98.138671875,-1999.756591796875,0.0,0.0,27998208.0,0.150390625,0.0,131.6640625,0.0,0.2707231044769287,0.0,98.138671875,7235.29296875
-9.05208683013916,3186.692274526,1773601028.2486448,966.3720703125,28252160.0,,-4.0521026676287875e-06,28949.775263767548,87.486328125,-1950.105224609375,0.0,0.0,28252160.0,0.1259765625,0.0,128.7509765625,0.0,0.26710352301597595,0.0,87.486328125,7593.8408203125
-9.249748229980469,3209.72750736,1773601051.1284447,947.3212890625,28506112.0,,4.060720675624907e-05,29056.989610320314,69.8115234375,-1828.284423828125,0.0,0.0,28506112.0,0.1015625,0.0,117.6884765625,0.0,0.2598891258239746,0.0,69.8115234375,7387.8046875
-9.14867877960205,3232.6159031,1773601074.163494,949.265625,28760064.0,,-7.827336230548099e-05,28987.818671752553,86.01171875,-1997.1474609375,0.0,0.0,28760064.0,0.1328125,0.0,137.732421875,0.0,0.24575312435626984,0.0,86.01171875,7264.099609375
-9.2958984375,3282.984663325,1773601147.42167,947.189453125,29014016.0,"{'path': 'media/html/render_29014016_af4c2bd8eec989eb5383.html', 'size': 3865593.0, '_type': 'html-file', 'sha256': 'af4c2bd8eec989eb538342b4a6ec08302e97ed13c37c48f9a246bafa1d0afba9'}",4.724850441562012e-05,29080.577845277567,81.087890625,-1944.719970703125,0.0,0.0,29014016.0,0.1298828125,0.0,149.2431640625,0.0,0.2486794888973236,0.0,81.087890625,7061.45703125
-9.383854866027832,3306.162035112,1773601147.6830707,792.8369140625,29267968.0,,4.4597061787499115e-05,28964.12542957326,90.169921875,-1659.453857421875,0.0,0.0,29267968.0,0.1357421875,0.0,129.318359375,0.0,0.24509255588054657,0.0,90.169921875,5848.13671875
-9.457921981811523,3329.205163723,1773601170.5983071,899.3388671875,29521920.0,,-1.03540905911359e-05,29016.704439067085,78.66015625,-1907.1097412109375,0.0,0.0,29521920.0,0.115234375,0.0,109.51953125,0.0,0.23118138313293457,0.0,78.66015625,7030.8671875
-9.405651092529297,3352.096979809,1773601193.641448,949.8623046875,29775872.0,,-5.257412703940645e-05,28962.99289569757,115.322265625,-2017.2855224609375,0.0,0.0,29775872.0,0.150390625,0.0,148.3935546875,0.0,0.24815213680267334,0.0,115.322265625,7183.6953125
-9.28342342376709,3375.134037044,1773601216.5331826,944.6865234375,30029824.0,,7.762118184473366e-05,29060.23910759974,94.513671875,-1946.6407470703125,0.0,0.0,30029824.0,0.1181640625,0.0,120.11328125,0.0,0.2364823967218399,0.0,94.513671875,7449.8251953125
