eval/episode_success_easy,training/sps,_timestamp,training/critic_loss,eval/episode_success,eval/episode_success_hard,eval/episode_reward_dist,_runtime,_step,training/log_alpha,render,training/entropy,step,eval/episode_reward_survive,eval/episode_success_any,training/actor_loss,training/alpha_loss,eval/episode_reward,eval/episode_reward_near,eval/episode_dist,eval/episode_reward_ctrl
315.296875,22476.612292514797,1773953419.9938002,0.7652691006660461,304.63671875,0.0,0.0,2585.328712953,20887552.0,0.0,,0.0,20887552.0,962.091796875,0.341796875,-45.93196487426758,-2.650589703989681e-05,304.63671875,0.0,6096.7763671875,-1787.2843017578125
325.1982421875,22424.044002121496,1773953445.6147952,0.7660377621650696,312.9970703125,0.0,0.0,2610.766187615,21141504.0,0.0,,0.0,21141504.0,928.9150390625,0.35546875,-47.123714447021484,-4.948634796164697e-06,312.9970703125,0.0,5544.1484375,-1646.61767578125
300.095703125,22528.072466683458,1773953523.5956295,0.7480533719062805,286.90625,0.0,0.0,2663.30890048,21395456.0,0.0,"{'path': 'media/html/render_21395456_b5cf26f06fadabc66a1a.html', 'size': 3860281.0, '_type': 'html-file', 'sha256': 'b5cf26f06fadabc66a1adfedcbbeadac105a0f4ce4e12e797e25fcb2086de8d3'}",0.0,21395456.0,981.3310546875,0.326171875,-47.870849609375,-5.7150427892338485e-06,286.90625,0.0,6422.580078125,-1793.4293212890625
289.4208984375,22400.932111994156,1773953523.8077857,0.7603874802589417,275.560546875,0.0,0.0,2688.985534935,21649408.0,0.0,,0.0,21649408.0,926.9365234375,0.3193359375,-47.59881591796875,2.786564982670825e-05,275.560546875,0.0,5891.51171875,-1689.948486328125
257.875,22484.199806933648,1773953549.2711139,0.7637434601783752,239.326171875,0.0,0.0,2714.593140639,21903360.0,0.0,,0.0,21903360.0,946.7333984375,0.3056640625,-47.89065933227539,1.878737202787306e-05,239.326171875,0.0,6470.3349609375,-1611.438720703125
289.7265625,22451.35310413356,1773953574.8792694,0.7253268361091614,259.0458984375,0.0,0.0,2740.066003625,22157312.0,0.0,,0.0,22157312.0,948.7978515625,0.3291015625,-48.96135330200195,-4.63028482045047e-05,259.0458984375,0.0,6097.47265625,-1787.49951171875
314.8544921875,22455.000890651267,1773953600.3519228,0.723172664642334,296.6328125,0.0,0.0,2765.683951664,22411264.0,0.0,,0.0,22411264.0,981.1220703125,0.3486328125,-48.26540756225586,6.833270163042471e-05,296.6328125,0.0,5905.0771484375,-1865.624755859375
311.7724609375,22409.13050914342,1773953678.8768075,0.7302853465080261,290.2958984375,0.0,0.0,2818.590081961,22665216.0,0.0,"{'size': 3861117.0, '_type': 'html-file', 'sha256': '4794f5e29681a53d7d21dbbc33092b725a919bec18fe91b3347d69150842cc42', 'path': 'media/html/render_22665216_4794f5e29681a53d7d21.html'}",0.0,22665216.0,967.8291015625,0.34375,-49.461830139160156,1.4410604308068287e-05,290.2958984375,0.0,6153.87890625,-1726.731689453125
317.3759765625,22567.064665547965,1773953679.1035163,0.7409915924072266,300.37109375,0.0,0.0,2844.464809172,22919168.0,0.0,,0.0,22919168.0,970.712890625,0.3505859375,-49.98401641845703,4.818510660697939e-06,300.37109375,0.0,5981.84228515625,-1734.8472900390625
279.7568359375,22336.491872605617,1773953704.7509024,0.712510347366333,269.3583984375,0.0,0.0,2869.910413744,23173120.0,0.0,,0.0,23173120.0,968.0595703125,0.3037109375,-49.410369873046875,8.229077502619475e-05,269.3583984375,0.0,6341.9912109375,-1693.242431640625
