training/alpha_loss,training/log_alpha,eval/episode_success_easy,eval/episode_reward_near,eval/episode_reward,eval/episode_reward_dist,_timestamp,eval/episode_dist,eval/episode_success_any,eval/episode_reward_survive,step,training/sps,eval/episode_reward_ctrl,training/entropy,_step,eval/episode_success_hard,_runtime,eval/episode_success,training/actor_loss,render,training/critic_loss
0.0,0.0,3.599609375,0.0,0.0,0.0,1774224312.0172188,1818.2606201171875,0.0,526.5615234375,26982400.0,44724.640657601165,-2104.7626953125,0.0,26982400.0,0.0,1374.445289638,0.0,0.034206319600343704,,0.0007246540044434369
0.0,0.0,12.47265625,0.0,0.0,0.0,1774224320.6999834,2675.59765625,0.0,759.78125,27236352.0,44799.131021127745,-3036.6298828125,0.0,27236352.0,0.0,1383.076221935,0.0,0.03145865723490715,,0.0006828769110143185
0.0,0.0,12.1240234375,0.0,0.0,0.0,1774224329.3308237,2205.923095703125,0.0,612.447265625,27490304.0,44955.36566261956,-2447.14306640625,0.0,27490304.0,0.0,1391.750090765,0.0,0.03191262483596802,,0.0006714577903039753
0.0,0.0,8.66015625,0.0,0.01171875,0.0,1774224366.8717413,2168.68994140625,0.001953125,621.58984375,27744256.0,44857.105616049965,-2483.789306640625,0.0,27744256.0,0.0,1420.616523408,0.01171875,0.029121939092874527,"{'sha256': '546f19472d91d191004b92e35edb42e9566916e3f905732734118cd312b367b8', 'path': 'media/html/render_27744256_546f19472d91d191004b.html', 'size': 3835413.0, '_type': 'html-file'}",0.000864948146045208
0.0,0.0,4.44921875,0.0,0.0,0.0,1774224367.0788777,2751.88818359375,0.0,784.5126953125,27998208.0,44868.87768937927,-3136.262451171875,0.0,27998208.0,0.0,1429.537932178,0.0,0.051169924437999725,,0.000988818472251296
0.0,0.0,8.5595703125,0.0,0.0,0.0,1774224375.7925982,2138.17041015625,0.0,609.078125,28252160.0,44668.42010609187,-2434.9169921875,0.0,28252160.0,0.0,1438.181782707,0.0,0.06377973407506943,,0.0012624996015802026
0.0,0.0,4.8125,0.0,0.0,0.0,1774224384.436438,2559.072265625,0.0,735.4951171875,28506112.0,44895.93150422621,-2938.975341796875,0.0,28506112.0,0.0,1446.855065549,0.0,0.06983424723148346,,0.0015399714466184378
0.0,0.0,15.646484375,0.0,0.751953125,0.0,1774224393.1098025,2559.421875,0.0009765625,742.7451171875,28760064.0,44862.677212651826,-2968.83203125,0.0,28760064.0,0.0,1455.477779239,0.751953125,0.07264844328165054,,0.0014096989762037992
0.0,0.0,3.53515625,0.0,0.0,0.0,1774224430.1542618,2586.31201171875,0.0,743.53125,29014016.0,45053.14812974251,-2971.0986328125,0.0,29014016.0,0.0,1483.899027527,0.0,0.059359073638916016,"{'sha256': '81fa4162c482a543e9615c026f788829330ca08ecfc353ec4db99d8795280bc7', 'path': 'media/html/render_29014016_81fa4162c482a543e961.html', 'size': 3896801.0, '_type': 'html-file'}",0.0019016624428331852
0.0,0.0,6.77734375,0.0,0.0,0.0,1774224430.331697,1723.995849609375,0.0,471.32421875,29267968.0,44919.55672566849,-1883.37353515625,0.0,29267968.0,0.0,1492.729365192,0.0,0.053324293345212936,,0.0018409150652587414
0.0,0.0,4.0068359375,0.0,0.0,0.0,1774224438.9841647,1983.9599609375,0.0,568.8427734375,29521920.0,44898.05104100361,-2273.37060546875,0.0,29521920.0,0.0,1501.394939042,0.0,0.04354284703731537,,0.0018218476325273514
0.0,0.0,1.3525390625,0.0,0.0,0.0,1774224447.649802,1616.6636962890625,0.0,458.19140625,29775872.0,44944.784636020886,-1831.14453125,0.0,29775872.0,0.0,1510.01629606,0.0,0.03256440535187721,,0.002067787339910865
0.0,0.0,3.0009765625,0.0,0.0,0.0,1774224456.2709382,1777.585693359375,0.0,513.7109375,30029824.0,45056.32313424789,-2053.078369140625,0.0,30029824.0,0.0,1518.67266439,0.0,0.04768700152635574,,0.0014062521513551474
0.0,0.0,3.6767578125,0.0,0.0,0.0,1774224493.3072464,2278.513427734375,0.0,644.4296875,30283776.0,44992.978269589556,-2576.004638671875,0.0,30283776.0,0.0,1547.052000729,0.0,0.045195918530225754,"{'sha256': '0a72cc77f17e499da06c5181dc9a4f07ad658f49d867d2f7c189ec702568f82e', 'path': 'media/html/render_30283776_0a72cc77f17e499da06c.html', 'size': 4033921.0, '_type': 'html-file'}",0.0017243085894733667
0.0,0.0,3.5341796875,0.0,0.8125,0.0,1774224493.529013,2117.761474609375,0.0029296875,603.7001953125,30537728.0,45107.51651315852,-2413.21337890625,0.0,30537728.0,0.0,1555.971753474,0.8125,0.05176527798175812,,0.002088344655930996
0.0,0.0,3.83984375,0.0,0.0,0.0,1774224502.2263522,1784.09033203125,0.0,502.1728515625,30791680.0,44780.261145121505,-2006.78759765625,0.0,30791680.0,0.0,1564.585768935,0.0,0.06263501942157745,,0.0013590512098744512
0.0,0.0,3.1162109375,0.0,0.0,0.0,1774224510.840448,2020.7763671875,0.0,561.3681640625,31045632.0,45067.12454857325,-2244.05224609375,0.0,31045632.0,0.0,1573.241559013,0.0,0.06235088035464287,,0.0007369250524789095
0.0,0.0,4.0693359375,0.0,0.00390625,0.0,1774224519.4962225,1688.434326171875,0.0009765625,486.2578125,31299584.0,45029.702023582984,-1942.834228515625,0.0,31299584.0,0.0,1581.853545928,0.00390625,0.049430880695581436,,0.0009471951052546501
