training/log_alpha,training/actor_loss,training/alpha_loss,training/critic_loss,eval/episode_success_hard,eval/episode_success_easy,training/sps,eval/episode_success,eval/episode_reward_dist,eval/episode_reward_survive,_timestamp,training/entropy,eval/episode_dist,step,_step,eval/episode_success_any,eval/episode_reward,_runtime,eval/episode_reward_near,render,eval/episode_reward_ctrl
0.0,-0.4084189534187317,6.30202748652664e-06,0.008957876823842525,0.0,4.91015625,41911.20786726059,0.0,0.0,890.9130859375,1773785034.674953,0.0,3077.073974609375,19617792.0,19617792.0,0.0,0.0,1032.967904036,0.0,,-2065.995849609375
0.0,-0.4606500566005707,-1.6830141191803705e-07,0.009397692047059536,0.0,6.1220703125,42008.99832244325,0.0,0.0,889.2236328125,1773785043.7335706,0.0,2980.13427734375,19871744.0,19871744.0,0.0,0.0,1042.084083718,0.0,,-1956.781982421875
0.0,-0.4008024334907532,3.5576131267589517e-06,0.008271796628832817,0.0,16.7978515625,41879.285700558234,0.0,0.0,964.3505859375,1773785082.0910718,0.0,3308.27783203125,20125696.0,20125696.0,0.0,0.0,1071.324781929,0.0,"{'path': 'media/html/render_20125696_a55146fe05e52ae2483f.html', 'size': 4106229.0, '_type': 'html-file', 'sha256': 'a55146fe05e52ae2483fc1d5706117a0538216abad9eeb8cac57d1502c788155'}",-2116.90576171875
0.0,-0.4630405008792877,-3.380212092451984e-06,0.011041262187063694,0.0,22.2900390625,41833.795268679394,0.00390625,0.0,828.55078125,1773785082.2851026,0.0,2734.0478515625,20379648.0,20379648.0,0.0009765625,0.00390625,1080.634520052,0.0,,-1958.48486328125
0.0,-0.4428521692752838,3.7945533222227823e-06,0.009802200831472874,0.0,18.5556640625,41944.8535493793,0.0,0.0,919.765625,1773785091.4004223,0.0,3076.548828125,20633600.0,20633600.0,0.0,0.0,1089.698538586,0.0,,-2029.0157470703125
0.0,-0.47203564643859863,-3.117304686384159e-06,0.01050940714776516,0.0,15.7890625,41949.51036574245,0.0,0.0,959.109375,1773785100.4642735,0.0,3263.495849609375,20887552.0,20887552.0,0.0,0.0,1098.801021309,0.0,,-2281.86083984375
0.0,-0.4258040487766266,4.3051855413978046e-07,0.01109816413372755,0.0,14.2607421875,42003.91583962629,0.0,0.0,899.4765625,1773785109.5667608,0.0,3028.66162109375,21141504.0,21141504.0,0.0,0.0,1107.8998032,0.0,,-2029.464599609375
0.0,-0.4236999750137329,5.613159828499192e-06,0.010397227481007576,0.0,16.1005859375,41892.70481453165,0.0,0.0,950.2109375,1773785146.5736237,0.0,3145.9609375,21395456.0,21395456.0,0.0,0.0,1135.807261492,0.0,"{'sha256': 'fac2837051f645deb8d89fdcf6d0952e35972f0e830f493da26f10b060da9bcf', 'path': 'media/html/render_21395456_fac2837051f645deb8d8.html', 'size': 4087513.0, '_type': 'html-file'}",-2216.3681640625
0.0,-0.41256773471832275,5.270393558021169e-06,0.010037887841463089,0.0,2.259765625,41973.62538376254,0.0,0.0,841.69921875,1773785146.7542686,0.0,2866.06787109375,21649408.0,21649408.0,0.0,0.0,1145.090674178,0.0,,-1972.466064453125
0.0,-0.2758948504924774,2.143887286365498e-06,0.007457491476088762,0.0,11.3232421875,41748.974146959816,0.0,0.0,931.6201171875,1773785155.8564117,0.0,3110.94482421875,21903360.0,21903360.0,0.0,0.0,1154.202878671,0.0,,-2161.529052734375
0.0,-0.35589736700057983,-5.17855323778349e-06,0.010563096031546593,0.0,3.4248046875,41922.78284635256,0.0,0.0,921.8896484375,1773785164.9686277,0.0,3165.544921875,22157312.0,22157312.0,0.0,0.0,1163.277417546,0.0,,-2099.25244140625
0.0,-0.384870320558548,-3.233773895772174e-06,0.011376772075891495,0.0,22.900390625,41871.0148372861,0.021484375,0.0,979.759765625,1773785174.0431092,0.0,3255.727783203125,22411264.0,22411264.0,0.0009765625,0.021484375,1172.396548525,0.0,,-2415.97021484375
